PdDistrict,Date,IncidntNum
NORTHERN,05/15/2016,63
MISSION,03/30/2016,50
TARAVAL,03/15/2016,35
CENTRAL,06/14/2016,57
SOUTHERN,09/28/2016,97
PARK,10/23/2016,18
TARAVAL,09/26/2016,27
TENDERLOIN,09/25/2016,17
CENTRAL,03/14/2016,45
CENTRAL,11/24/2016,34
MISSION,04/14/2016,62
BAYVIEW,10/23/2016,37
INGLESIDE,12/02/2016,30
TARAVAL,07/29/2016,28
SOUTHERN,10/17/2016,80
CENTRAL,06/23/2016,59
INGLESIDE,02/04/2016,42
TARAVAL,07/23/2016,29
SOUTHERN,11/09/2016,66
CENTRAL,10/13/2016,41
RICHMOND,09/11/2016,19
RICHMOND,05/26/2016,31
TENDERLOIN,09/23/2016,18
SOUTHERN,06/16/2016,92
INGLESIDE,01/02/2016,20
SOUTHERN,05/28/2016,65
MISSION,08/29/2016,66
NORTHERN,06/13/2016,49
TENDERLOIN,09/06/2016,36
TENDERLOIN,12/13/2016,38
BAYVIEW,10/11/2016,36
RICHMOND,03/05/2016,20
INGLESIDE,10/14/2016,39
TARAVAL,05/23/2016,37
TENDERLOIN,06/06/2016,15
MISSION,04/08/2016,50
NORTHERN,11/11/2016,67
PARK,10/11/2016,30
NORTHERN,02/18/2016,59
TENDERLOIN,12/04/2016,22
SOUTHERN,08/14/2016,92
CENTRAL,09/01/2016,38
NORTHERN,06/15/2016,55
CENTRAL,12/14/2016,52
CENTRAL,06/04/2016,51
MISSION,11/15/2016,78
SOUTHERN,08/28/2016,70
TARAVAL,08/15/2016,31
INGLESIDE,03/27/2016,43
RICHMOND,08/24/2016,21
MISSION,06/16/2016,52
BAYVIEW,06/15/2016,58
CENTRAL,06/18/2016,53
MISSION,11/09/2016,56
CENTRAL,12/31/2016,64
TARAVAL,01/20/2016,51
MISSION,10/17/2016,59
PARK,06/13/2016,19
RICHMOND,03/23/2016,27
BAYVIEW,02/18/2016,53
PARK,11/11/2016,20
MISSION,05/28/2016,48
TENDERLOIN,12/28/2016,23
INGLESIDE,06/01/2016,32
RICHMOND,01/04/2016,27
BAYVIEW,11/11/2016,41
PARK,02/18/2016,20
TARAVAL,08/16/2016,28
CENTRAL,08/22/2016,37
MISSION,09/28/2016,74
CENTRAL,02/12/2016,57
CENTRAL,03/06/2016,46
TENDERLOIN,02/02/2016,27
SOUTHERN,03/30/2016,82
NORTHERN,10/11/2016,55
SOUTHERN,04/14/2016,61
TENDERLOIN,03/02/2016,21
INGLESIDE,07/14/2016,33
PARK,06/15/2016,30
INGLESIDE,04/09/2016,34
BAYVIEW,06/13/2016,26
CENTRAL,04/21/2016,57
INGLESIDE,10/18/2016,32
TENDERLOIN,01/25/2016,43
INGLESIDE,11/22/2016,35
PARK,05/15/2016,34
SOUTHERN,11/15/2016,77
MISSION,08/28/2016,70
TENDERLOIN,08/02/2016,28
CENTRAL,09/10/2016,69
TENDERLOIN,01/18/2016,25
RICHMOND,11/16/2016,23
CENTRAL,04/26/2016,41
NORTHERN,10/23/2016,55
MISSION,08/14/2016,46
CENTRAL,03/26/2016,50
